session,stratum,status,reason,n,d_ratio,id_range_bits,slope_ms_per_bit,intercept_ms,r2,throughput_bits_s,n_excluded
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,L,blocked-by-data,insufficient_n,10,,,,,,,0
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,R,blocked-by-data,insufficient_n,10,,,,,,,0
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,L,blocked-by-data,insufficient_n,10,,,,,,,0
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,R,blocked-by-data,insufficient_n,10,,,,,,,0
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,L,blocked-by-data,insufficient_n,10,,,,,,,0
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,R,blocked-by-data,insufficient_n,10,,,,,,,0
