peek_index,side,d_deg,w_deg,id_bits,mt_ms,flags
0,L,8.703122568729313,7.065843441308025,1.1581543752521242,447.10249999910593,
1,R,25.29592753586825,6.926416944492298,2.217880327446745,546.9499999992549,
2,L,29.33375851321356,6.818933894983757,2.4064849892626285,550.7750000003725,
3,R,26.19121131225456,6.9391026628787005,2.2553308594666763,478.589999999851,
4,L,27.166826932857386,6.856227136924927,2.311025840162047,457.3624999988824,
5,R,27.915469343635444,6.944725519659365,2.3275910539478275,457.34249999932945,
6,L,26.80520073975828,6.828631542568983,2.3002447741909546,461.54749999940395,
7,R,27.581511294714677,6.989193894167198,2.3063520570476883,440.0849999990314,
8,L,28.32516568986275,6.805986234698768,2.3678747437155643,450.214999999851,
9,R,26.441482578329296,6.9809072709004285,2.259328443153647,471.78250000067055,
10,L,29.44526819517471,6.81428271063454,2.4117273483814303,487.34249999932945,
11,R,28.395713983463146,6.944563606668997,2.3473574281431926,405.59249999932945,
12,L,27.771952573427296,6.925360526401577,2.3248628640152793,577.1349999997765,
13,R,28.261809790397745,6.849932764358097,2.357791864809141,486.3224999997765,
14,L,24.86598045402119,6.945724955059584,2.1953605286477615,407.242499999702,
15,R,27.6658692826322,6.857846804861117,2.3317601808103126,622.6374999992549,
16,L,25.034858949905367,6.922208655808441,2.206830697661105,423.15499999932945,
17,R,25.269740965523336,6.893740012275236,2.2220647588273037,476.51999999955297,
18,L,27.264989682685737,6.935540993642204,2.3019383842977095,429.64499999955297,
19,R,24.81662823097681,6.89046112725589,2.202133007146915,477.570000000298,
