peek_index,side,ads,signal,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100,flags
0,L,False,omega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016999159475365868,1.6280996807966757,2.3911520427682604,0.7800515214482617,0.0,0.0,1.2380739200725448,2.7811778034923913,1.1700772821710814,0.44102323914891745,2.052123760470227,2.815176122443123,2.815176122443123,3.335300018046206,4.011695873006914,4.955098423877086,5.630299522697227,5.630299522697227,6.495338741283886,8.106424176382784,7.173388956609994,5.630299522697227,5.630299522697227,5.630299522697227,5.630299522697227,6.512337741580419,8.123423176679319,8.44544928404584,8.530444285527194,10.141529720626094,12.73664737638606,17.569903681682717,23.302197206159125,29.746538946554733,34.88482235891748,39.82293100486988,46.31242273501344,56.415652418570325,74.34299827417576,81.16703055568343,79.56634203859643,77.8435577267491,76.70788818891903,83.26754097587342,87.09222189762284,85.27515389718198,82.69547585116511,79.56159803363674,73.60616344601388,67.62813372906096,67.59497647114365,66.49911646651685,63.312987610517496,60.10763556700886,56.88890767745646,50.918548254535146,45.50801209022416,50.34197401915361,50.69518499126856,42.638581776392705,36.51632736321958,31.682365434290137,28.222658437469473,25.3400467922894,25.3400467922894,24.762951440650124,23.15163079767364,21.54031015469716,19.928989511720676,21.100181697039314,22.524486037590577,22.524486037590577,23.71267970494668,26.935320990899644,26.21563004647249,23.093380280365743,19.79570735446197,16.48543955917217,13.26277665255365,10.651216161501827,9.039884708191254,5.392181899035325,0.5581875391036082,0.0,0.22105374690616034,1.8326257661031404,2.187802214699855,0.576230195502875,0.0,0.0,0.0,0.0,0.0,0.6451098406394216,
0,L,False,epsilon,8.703122568729313,8.774258868037293,8.84549926011788,8.917047583142066,8.9887938711731,9.060733990264309,9.13295631485802,9.205140042584615,9.265251451560394,9.328755229833838,9.401756114209585,9.474921231063997,9.548240502240025,9.612141978486985,9.673476911516254,9.74738289006173,9.817925113384598,9.879542968966069,9.941294644423394,10.003166727632594,10.056096561559714,10.106470038225547,10.156240756996853,10.209642173049666,10.272183922889582,10.321346732565347,10.358970981357468,10.406659322394242,10.45703734016769,10.50758396781299,10.55817919409154,10.608890650641932,10.645932913379415,10.671676926807661,10.697534870909832,10.72276559120282,10.736223440548773,10.749718713578057,10.763299105153575,10.727877711690489,10.653646319187068,10.538642499440225,10.412417563312232,10.261057321642447,10.062053772816489,9.759897539757189,9.449700350652398,9.133402027036535,8.818293438499463,8.501353483877486,8.15820169045893,7.8840487472761405,7.752227867505944,7.530982156275804,7.24475012412043,6.9253839267466635,6.607305022366777,6.375879340993818,6.147012392520483,5.92317830925393,5.695733682673733,5.465776773910134,5.284992672621218,5.115330178939424,4.963936338419994,4.83709269612524,4.756326733066326,4.612524395134278,4.426739304189338,4.3764689390664335,4.341182112668434,4.23473984946152,4.135784660322529,4.050247221538009,3.9621454252405677,3.87240954767253,3.779055535160044,3.683188682180136,3.5725428286471224,3.4742253522945914,3.3970167559881177,3.3021104249866253,3.1964186385413726,3.100744245362751,3.0094063203651302,2.9380173630043656,2.8860038351212705,2.8657032684187924,2.853933494799283,2.847133349006591,2.8411976359971085,2.8353365712808074,2.829235215762372,2.8240033294638143,2.820132501175967,2.8168902278567525,2.8139977833034293,2.8119811416359313,2.8102117045260857,2.80927623885534,2.8036990604620855,
1,R,False,omega,0.0,0.0,0.0,0.2823707041217319,2.253559684645118,1.4064475722773002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285073678289378,2.256262658811453,5.63930515994481,9.014238738579161,10.985427719101237,19.827325708731188,26.34130302288818,28.318105647355335,36.38455237568072,40.78884850929017,43.96595286791821,55.83945265248067,70.57170829614917,82.97993163056417,86.91290896494395,95.85773682116765,103.98256678807685,109.94385305384634,109.94258520080321,116.74165100546546,127.10142267374509,129.0688377761851,128.20483094887953,128.5052649027837,134.34947154633278,111.37118998390868,103.4380322520306,120.98441125455649,109.18708471133694,100.92121657480061,95.5041107591385,91.5808322246578,83.42242893275811,76.48248736566711,76.48377425187567,74.79355653164987,72.83640591445281,70.89295506263952,70.89397229517292,67.50169101649492,61.306255930304474,53.239124560680544,56.817651764600086,58.52552994341803,44.91130333943493,53.16141479438131,56.207156162073,48.167222831847496,44.2553091937873,43.74548904294353,45.07875540466119,42.92779020439785,41.06186737871183,38.60245105182711,34.46161070150294,39.187716630888076,39.08358464883183,31.10311799374061,31.103168940079403,30.132334318027908,28.42243444150009,26.493424955640677,25.727496062204796,25.595559347486294,25.919238814693067,23.982338866658147,21.8446910369556,19.895921585230603,18.42420712185352,14.177830131990916,8.623364348920635,6.79737287662814,5.120709769628524,3.1530606832459602,0.3649812385439275,0.0,0.0,0.0,0.0,1.1512705722784435,2.8159991696470597,2.8159991696470597,2.8159986412105145,3.0600331852752123,3.8766436019658306,1.5555031406075948,0.0,0.027033581795823224,
1,R,False,epsilon,25.29592753586825,25.29592753586825,25.29592753586825,25.298133496353323,25.313532986938483,25.317923791503436,25.317923791503436,25.317923791503436,25.317923791503436,25.317923791503436,25.317923791503436,25.317923791503436,25.317923791503436,25.31346963792972,25.28267065818966,25.251871682559404,25.207773606818076,25.130776197142417,25.000942400213663,24.842627533979226,24.6580324388555,24.438672914023087,24.164679512698424,23.838562050383736,23.444366878082796,22.993148052082006,22.57208050552991,22.280244735175856,21.747494907445983,21.10155085673176,20.35840966709098,19.67402322968191,18.97072048335107,18.250778804528725,17.51521791261053,16.700466807325213,15.89858881006439,15.203686643125423,14.49282452910419,13.931819681343889,13.568317992524696,12.956175057718081,12.369324484830049,11.793575886495024,11.17529313072877,10.644717842148582,10.156594485565293,9.688849817875125,9.179619351911017,8.790561781591064,8.564453014151738,8.122107856706462,7.687756338752115,7.265944903005212,6.8821559717293,6.508537911560989,6.12946723186888,5.727815737149027,5.378611558677436,5.050548189430662,4.738812899430728,4.380336832608682,4.119162084025466,3.9121548580142886,3.6136445959220524,3.3029633800965734,3.0015036852972354,2.733263911397901,2.450636540384243,2.187233554553254,1.9513429445906711,1.7149028255371785,1.4834238703123048,1.2713654844301765,1.1471330027373012,0.9789285369599265,0.8009614798149467,0.6395417770734166,0.5646798023851576,0.5552937783383155,0.6129049847374243,0.695859784852664,0.7909078223960935,0.8921289794695747,0.9796876573539037,1.044442571439775,1.099634990830585,1.1525853574320761,1.2020981246130065,1.2491601578403646,1.2937123530061378,1.3337129945393644,1.3630521286787873,1.3819240050094725,1.3852108326792454,1.399642524223099,1.414927908954987,1.4224075456334573,1.4409650813827484,1.454590354258797,1.4600860273217078,
2,L,False,omega,0.0,0.0,0.0,0.4578831350930609,3.26545990912349,4.848381736644834,6.671658336795412,9.859086553563632,13.36016747088808,17.00513781223031,20.944879588659393,27.218487323524506,38.00858276957004,49.30684666552152,54.3860981415868,59.89628287043998,66.50716253257494,74.64182569886259,82.78655363415751,86.02129753321005,86.4959254350423,93.61811356731438,114.73064279979322,130.38444423657265,121.36142757081065,114.8207587819393,120.66894091609815,138.49393778469408,122.49746774173991,121.5451616445841,127.30796036252653,125.33360157814724,123.16027618179568,123.24755117166038,127.18006533445336,106.19217075021226,105.57222231616623,120.01739111248165,109.99734095410567,104.17155693724729,100.15094155553243,96.18621022648837,87.05238491541529,82.43252361712925,84.24920422264663,80.28434311768311,73.92876675238838,67.54736333496712,67.54833144849185,56.842393589492744,50.04551632188971,56.133503802048224,50.99471535808869,47.1229753635409,45.544508077427416,47.51471752422863,46.80659220954362,43.81215699250197,37.920800253685016,38.65270909734122,38.11632191231441,34.207933427092186,31.98658656896166,27.593196338738622,22.014863075364026,18.08940998500048,12.520188770793489,7.935906907692316,6.421762012721273,2.237036751146163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000311034951143,2.7833196416778314,0.859806128902183,1.123482409280534,2.5196433612981703,0.5363548231154533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,L,False,epsilon,29.33375851321356,29.350409443968022,29.366183396618165,29.378662432432794,29.377471389016662,29.363865065393153,29.335293404687405,29.28460176758082,29.20473650792003,29.10604901975752,28.984113255458926,28.77430917559716,28.54367959642239,28.29811452663856,28.03998070719599,27.676747053617643,27.34342424324356,27.09166759727625,26.55051586346751,26.019381159859027,25.50090222368949,24.98121217096841,24.259884335378747,23.503032328385128,22.841254804699073,22.136579518990875,21.425897441336836,20.72737390569739,20.274098501063335,19.655765566815678,18.930891355673985,18.169054557031817,17.430127003758052,16.72017413378514,16.04852009342505,15.345566994454359,14.655235310186749,13.98423789664504,13.366838916134638,12.948378141137248,12.537394646152263,11.93131074045429,11.348888839066156,10.81065315970269,10.322642204537587,9.83465491359518,9.371878984813618,8.939498599548521,8.567437062628356,8.203238691015367,7.8951934414671765,7.685373954758599,7.373523784411252,7.054422721569626,6.7317011374274225,6.377844125408987,6.057318505908441,5.760098686674249,5.484415290173238,5.184971751686119,4.914407523376811,4.68945798010574,4.548858766830543,4.375523448318896,4.188715821316417,4.04831472119756,3.9340694747423597,3.8304799740692697,3.7308741771499987,3.6626220089434236,3.5972034014434593,3.5316610340525374,3.466001780794942,3.400328920795104,3.3346713969907724,3.269084642613898,3.206317707252296,3.1517768669828903,3.1084984508137734,3.0588394457162917,3.0191966735855895,2.9862729365097436,2.947471584901271,2.912354930219514,2.8800781202158254,2.8510652008636272,2.826021457579284,2.803435965284872,2.783270250261056,2.76688666011359,2.753009813246317,2.7414079374199285,2.7328340869426277,2.724991953549667,2.7176782742532364,2.710924471765015,2.7050360966626865,2.699666437324038,2.694814516152187,2.690736256860926,2.687281775359019,
3,R,False,omega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878363118805508,2.7111935112581436,4.434550710637047,7.220895112525006,12.390966710661715,18.72585894361191,25.704880130044465,34.566956798988244,44.711430358140824,56.69211641576318,61.92694225379784,65.76818662844347,72.65468926910133,92.81367173536154,125.52162201760403,114.22480794388672,104.74147054077845,118.52422906671356,127.02890075271257,132.25461462838027,139.11764602838576,144.21830886415754,146.0270750639349,135.39941075160922,123.24792814011799,145.86275284908325,157.41454199815985,155.70512271971594,144.12069055822752,132.35986476106822,128.9365263813976,121.50042063353594,110.88080565931435,113.40672619513752,114.43821158880934,109.29446122389943,102.90615507534449,95.93056018424758,90.78131764215182,84.27767912205317,75.70496361524775,67.1489342425253,59.690155205335,59.48709912476585,57.67487329415456,54.24329138689081,50.683941114387764,47.12337071161936,43.623638667647754,40.15431264474972,36.70515409638544,36.661929176247355,34.943116469983735,29.703163640358177,29.36643636242199,30.843975911431603,29.11938099709326,26.63729617087714,23.188106342200456,21.130368654616277,19.70659319624289,19.70659319624289,18.77181151106452,17.047216596726177,15.322621682387835,13.598026768049493,11.873431853711152,13.485057314813618,16.848484050071555,13.399294221394873,9.950116087011121,6.500957030116132,4.875444003103286,3.7007987247677296,1.261513141989215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7306143846420663,
3,R,False,epsilon,26.19121131225456,26.192944515952032,26.19429337016747,26.194981011319566,26.19516309778858,26.19516309778858,26.19516309778858,26.19516309778858,26.19516309778858,26.19516309778858,26.19516309778858,26.19516309778858,26.187461022954654,26.174024154967967,26.122663390480202,26.0564852649543,25.96243038186305,25.823557730321184,25.66613574005763,25.57299016782646,25.38082891708747,25.046891101067274,24.691417474925437,24.308228739924434,23.799116100151128,23.29468323475422,22.79467503895991,22.231549799603467,21.649613470835533,21.036540549645668,20.313801536651415,19.52293357861299,19.19296119556034,18.73171871602554,18.015399836335444,17.199052779602862,16.3564907483968,15.647468538644901,14.948909734004342,14.262893363606103,13.496588435125533,12.74355255115934,12.120979789059954,11.594983857915196,11.145606679911678,10.618457358141159,10.084807516075154,9.550639721409473,9.014132580550287,8.478284092802152,8.007009987703809,7.566750682302621,7.173871913570872,6.820435158523537,6.477455959448039,6.122658523520925,5.807854397826706,5.533296747030384,5.349996557242992,5.162153684553683,4.913097029449885,4.655369560367796,4.391890979699257,4.164091734298919,3.9467538566727836,3.7477857089592623,3.5482615874564205,3.3494079363905738,3.162273836688632,2.986494458528361,2.8252119176622985,2.705772395233458,2.591705502761568,2.4556516727990316,2.312568315306713,2.1635455883062003,2.026639056484266,1.894667845763713,1.7724253036043345,1.6551661082895277,1.541048247259872,1.4584300870554125,1.3803845474531056,1.3097985540296635,1.265658559768009,1.2310140344999825,1.2007346706725561,1.1726886120048783,1.1470346485429854,1.1250590375257525,1.1046170074823805,1.087354947975299,1.0724060924859902,1.0590939270524056,1.049448931066652,1.0411921952542977,1.0354933627377587,1.0323515547792566,1.0305740515808302,1.0322849405248211,1.0382318296948716,
4,L,False,omega,0.0,0.0,0.0,0.0,0.9619605918191972,2.610077097463679,2.815239842368224,3.1561739429265203,5.193555253101355,6.873415904806616,8.132193359652847,10.268046002121297,12.70441079595458,15.358294794586833,19.00162965021336,24.611827335771025,29.971791614047465,35.182591718920094,44.36922096996305,53.33137748937111,60.12215169234878,62.52404180077228,60.572648212820766,69.66275923730213,82.56344293615268,105.53060324491825,119.1130507542264,117.22301860055343,123.14913467744861,132.93577440181315,131.54915486799592,133.07738614327724,144.5401035149291,152.361619197959,157.1418904340756,159.29391686689456,159.66588140686187,151.44838805809835,150.8246373930599,160.6702991031635,166.89228137347317,171.59060068505045,161.71517321481574,154.26079399064872,152.56710978322008,149.93418611567293,146.64246272607474,137.5438582403229,129.9105558707025,133.2028328567867,131.16628086407343,122.95551811232468,115.97512555124527,109.47102623316073,104.53543548565167,95.14134488818436,77.04463666792171,69.3880859026827,67.84730544236929,61.565497807729884,56.73596264415324,58.693715704067436,53.76894940528647,42.12779864782192,35.707417622770635,30.510243534536826,24.31147179264241,19.10760817170339,15.51591895170117,10.25742490790084,4.190725675600243,3.320481315699137,2.3894022544914146,0.7427165188100182,0.9049948157014808,2.553548799697865,5.583568789561771,8.271839919728734,7.014710156057803,7.523897859517178,10.427980499040554,10.2640421733834,8.896254995841478,8.896338657786133,8.81607688346173,8.548325344089463,7.694978857478843,6.437741147787607,4.492045283553805,2.9329850190734756,3.6163529165169614,3.661022761775612,2.977683656326228,1.5628739167224732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,L,False,epsilon,27.166826932857386,27.166826932857386,27.166826932857386,27.166826932857386,27.15931292483742,27.146439257509908,27.122509922296363,27.099121792717575,27.086248441404198,27.06167062969737,27.02330745626892,26.975285412897104,26.921867626861882,26.81945668608795,26.708555225861048,26.580776032899124,26.405158601223004,26.20102478793228,25.961339273772904,25.702424626415283,25.383133345834285,25.158456062045367,25.027625314371118,24.713155889696605,24.33226626707805,23.751482659170197,23.140980653932285,22.481482232061637,21.854508280169725,21.24359869678419,20.571027187264548,19.853396943241325,19.010109304645752,18.22868876910806,17.498941554552797,17.08666733023666,16.675911029858263,15.855533025765805,15.040929807559467,14.234288225312888,13.481518409608878,12.750051058764097,11.90527733521024,11.105327889740101,10.41203430947251,9.726248747703181,9.045729447319117,8.402056966003997,7.8040613292427095,7.4024704829735475,6.911843431493358,6.3180551980081425,5.80416218332827,5.3179206897927,4.866976016689339,4.449152030293166,4.0959768454024275,3.7669408574563086,3.452045440138288,3.2502209572095033,3.050822558724533,2.825456027874043,2.6633475960689834,2.562970296596873,2.444774886863713,2.327006291452765,2.2593073395280285,2.195517050729283,2.138060458983481,2.105804542055403,2.0857680018957785,2.074455685761743,2.0608930433319403,2.0399225620080457,2.027976352384886,2.023444638230451,2.020857206009896,2.0171542610828803,2.0037490319682036,1.9905111773437507,1.9775002605866625,1.9747199416224428,1.9758825859594797,1.9637909898815302,1.955320064619032,1.955298140967941,1.9487784260522796,1.9377771136202049,1.9360877128218872,1.9332243376220664,1.9190848239862686,1.9117785327017534,1.9122609719713695,1.9120816697239333,1.9117158040951159,1.9117847776471733,1.911951416480537,1.9123052652701704,1.9125947864914838,1.9128472796098512,1.9130002170662543,
