session,stratum,status,reason,n,d_ratio,id_range_bits,slope_ms_per_bit,intercept_ms,r2,throughput_bits_s,n_excluded
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,all,blocked-by-data,insufficient_d_ratio,20,1.834304333262974,0.6997456516239708,,,,,0
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,all,blocked-by-data,insufficient_id_range,20,2.5530917579294212,0.9602288150511478,,,,,0
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,all,ok,ok,20,3.3832992655960976,1.2535729731293062,39.60143865131389,389.01457938840497,0.033888469537029176,25.251607872251434,0
