peek_index,side,d_deg,w_deg,id_bits,mt_ms,flags
0,L,16.74918377618402,7.094179177438639,1.7488800591013836,565.9925000015646,
1,R,25.308662406744926,6.882400100957831,2.2256765264631198,557.3225000016391,
2,L,27.93122296199168,6.849966485900648,2.344138436122175,517.5300000011921,
3,R,27.960362971608152,6.912185112852765,2.334878024064286,494.6100000012666,
4,L,25.93647361185074,6.8631053395404695,2.2567438916533193,506.0125000011176,
5,R,26.39160934414452,6.929325436387661,2.265642055179248,541.9275000002235,
6,L,27.205565611508245,6.857499978559516,2.3124536621021368,493.1650000009686,
7,R,26.971529056490965,6.906884562314405,2.2942593044233677,454.8225000016391,
8,L,28.06861098384016,6.897112660895515,2.3418769254844922,442.4475000016391,
9,R,26.44664991450151,6.884604608078751,2.275429912688222,553.2825000006706,
10,L,25.667280784060814,6.916394851157943,2.236057219060177,477.8125,
11,R,29.004620114384917,6.9087184403308575,2.3780297520051326,530.1800000015646,
12,L,26.07460762257467,6.890788390931879,2.2582114530285136,498.4275000002235,
13,R,26.604264154190496,6.896654786120569,2.280232010457963,433.46000000089407,
14,L,27.116409375860805,6.876995175433358,2.3054046211889867,495.65750000067055,
15,R,29.70806384121047,6.942192696455537,2.400359980563979,498.8500000014901,
16,L,29.20713730004109,6.85392226281168,2.395440053315923,497.097500000149,
17,R,26.10679489705915,6.930514391656593,2.2530618516613665,414.5300000011921,
18,L,30.72310037927225,6.890196638658621,2.4486257107253544,476.2675000000745,
19,R,28.7790583514471,6.9007678476360494,2.3702797832819464,452.8574999999255,
