peek_index,side,t_onset,t_mr_end,t_anchor,rec_ms,mr_ms,v_ms,peak_omega_deg_s,t_detect,rec_minus_detect_ms,flags
0,L,20029.18999999948,20263.56499999948,20327.854999998584,148.4375,234.375,64.28999999910593,87.68548864060035,,,()
1,R,20427.62749999948,20763.56499999948,20888.639999998733,85.9375,335.9375,125.07499999925494,135.15459261910544,20497.93999999948,-70.3125,()
2,L,20943.25249999948,21255.75249999948,21454.96499999985,39.0625,312.5,199.21250000037253,139.28319669001786,,,()
3,R,21537.00249999948,21787.00249999948,21945.27999999933,70.3125,250.0,158.277499999851,158.19201184568908,21630.75249999948,-93.75,()
4,L,22013.56499999948,22255.75249999948,22416.23999999836,54.6875,242.1875,160.4874999988824,171.63081601361648,22130.75249999948,-117.1875,()
5,R,22497.93999999948,22779.18999999948,22884.969999998808,70.3125,281.25,105.77999999932945,135.35560982258613,,,()
6,L,22966.68999999948,23287.00249999948,23357.924999998882,70.3125,320.3125,70.92249999940395,129.88785210368755,,,()
7,R,23435.43999999948,23724.50249999948,23813.02499999851,62.5,289.0625,88.52249999903142,155.0950409416306,,,()
8,L,23888.56499999948,24201.06499999948,24276.27999999933,62.5,312.5,75.21499999985099,138.35719192288568,,,()
9,R,24372.93999999948,24654.18999999948,24758.78500000015,85.9375,281.25,104.59500000067055,166.11207022105535,,,()
10,L,24833.87749999948,25193.25249999948,25258.719999998808,62.5,359.375,65.46749999932945,132.4630905720811,,,()
11,R,25326.06499999948,25630.75249999948,25676.969999998808,54.6875,304.6875,46.21749999932945,152.44300944136876,,,()
12,L,25779.18999999948,26224.50249999948,26262.574999999255,93.75,445.3125,38.07249999977648,150.10267955276052,,,()
13,R,26310.43999999948,26529.18999999948,26757.699999999255,39.0625,218.75,228.50999999977648,191.39311532924447,26388.56499999948,-78.125,()
14,L,26833.87749999948,27029.18999999948,27178.61999999918,62.5,195.3125,149.42999999970198,369.29653099302755,,,()
15,R,27271.37749999948,27505.75249999948,27815.889999998733,78.125,234.375,310.13749999925494,166.39324276535044,,,()
16,L,27880.75249999948,28091.68999999948,28249.219999998808,54.6875,210.9375,157.52999999932945,163.76818725179606,,,()
17,R,28365.12749999948,28552.62749999948,28740.08499999903,101.5625,187.5,187.45749999955297,258.99527111161416,28451.06499999948,-85.9375,()
18,L,28810.43999999948,29013.56499999948,29177.58499999903,62.5,203.125,164.01999999955297,185.66134469393597,,,()
19,R,29294.81499999948,29490.12749999948,29663.009999999776,109.375,195.3125,172.88250000029802,219.6470006332113,,,()
