session,n,n_excluded,abs_strength_p50,abs_strength_p25,abs_strength_p75,signed_strength_p50,peak_lag_ms_p50,peak_lag_ms_p25,peak_lag_ms_p75,n_key_leads,n_omega_leads
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,20,0,0.9040849348933118,0.883144586094756,0.9194579366570422,-0.1325959176938939,-183.59375,-220.703125,-128.90625,16,3
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,20,0,0.9178505056666524,0.8647157383835143,0.9269850596123926,0.8153631901708054,-136.71875,-207.03125,162.109375,12,8
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,20,0,0.8953249234167999,0.8582409381278018,0.9244287363197511,0.8403598087646589,179.6875,-134.765625,220.703125,7,13
