peek_index,side,lag_ms,r,n_overlap
0,L,-250.0,nan,26
0,L,-242.1875,nan,27
0,L,-234.375,nan,28
0,L,-226.5625,nan,29
0,L,-218.75,nan,30
0,L,-210.9375,nan,31
0,L,-203.125,nan,32
0,L,-195.3125,nan,33
0,L,-187.5,nan,34
0,L,-179.6875,nan,35
0,L,-171.875,nan,36
0,L,-164.0625,nan,37
0,L,-156.25,nan,38
0,L,-148.4375,nan,39
0,L,-140.625,nan,40
0,L,-132.8125,nan,41
0,L,-125.0,-0.1531551605904921,42
0,L,-117.1875,-0.23152325977809812,43
0,L,-109.375,-0.31227364330027535,44
0,L,-101.5625,-0.38265060021784664,45
0,L,-93.75,-0.4056571408616185,46
0,L,-85.9375,-0.43362545269261416,47
0,L,-78.125,-0.47043432439805766,48
0,L,-70.3125,-0.4695472982295721,49
0,L,-62.5,-0.4616392597632708,50
0,L,-54.6875,-0.43020459507967906,51
0,L,-46.875,-0.38371933509358297,52
0,L,-39.0625,-0.3198876150960797,53
0,L,-31.25,-0.22494513560462792,54
0,L,-23.4375,-0.1186487053687279,55
0,L,-15.625,0.014387398275129607,56
0,L,-7.8125,0.12407090988171703,57
0,L,0.0,0.24891778459958372,58
0,L,7.8125,0.382069651002744,57
0,L,15.625,0.5183852474807918,56
0,L,23.4375,0.6188890659087092,55
0,L,31.25,0.6875145082232339,54
0,L,39.0625,0.7298722581874036,53
0,L,46.875,0.7328662586820514,52
0,L,54.6875,0.6821018931421899,51
0,L,62.5,0.6057096210099852,50
0,L,70.3125,0.46835442773974734,49
0,L,78.125,0.3487014498761125,48
0,L,85.9375,0.19838574211276047,47
0,L,93.75,0.07021114780801503,46
0,L,101.5625,-0.061129578714765626,45
0,L,109.375,-0.2153850351354119,44
0,L,117.1875,-0.4167278932790807,43
0,L,125.0,-0.5660995405669439,42
0,L,132.8125,-0.6733774419268358,41
0,L,140.625,-0.7862516550575039,40
0,L,148.4375,-0.8499564227414929,39
0,L,156.25,-0.8322741599076656,38
