session,peek_index,side,n_ticks,dt_ms,max_lag_ticks,peak_lag_ms,peak_strength,flags
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,0,L,73,7.8125,32,0.0,-0.8840278822026423,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,1,R,72,7.8125,32,-148.4375,-0.922857892629261,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,2,L,67,7.8125,32,-195.3125,0.8934695208294529,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,3,R,64,7.8125,32,-195.3125,-0.8804946977710972,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,4,L,65,7.8125,32,-171.875,0.9153912023199858,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,5,R,70,7.8125,32,-226.5625,-0.9063765864890674,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,6,L,64,7.8125,32,-226.5625,0.901793283297556,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,7,R,59,7.8125,32,-195.3125,-0.9205719137709889,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,8,L,57,7.8125,32,-234.375,0.9271289927751992,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,9,R,71,7.8125,32,-250.0,-0.9190866109523933,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,10,L,62,7.8125,32,-117.1875,0.8914653186804005,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,11,R,68,7.8125,32,-218.75,-0.878829543559951,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,12,L,64,7.8125,32,-210.9375,0.9185506890478037,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,13,R,56,7.8125,32,234.375,-0.8456427922193069,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,14,L,110,7.8125,32,-250.0,0.6145874968537788,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,15,R,64,7.8125,32,250.0,-0.9413199654093358,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,16,L,64,7.8125,32,-148.4375,0.9161570088534334,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,17,R,54,7.8125,32,-132.8125,-0.9301994739572745,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,18,L,61,7.8125,32,-156.25,0.8999026187880091,()
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,19,R,369,7.8125,32,7.8125,0.5804509568315191,()
