peek_index,side,lag_ms,r,n_overlap
0,L,-250.0,0.7987072561807864,41
0,L,-242.1875,0.8072643162860957,42
0,L,-234.375,0.8195287736529361,43
0,L,-226.5625,0.8189476562373865,44
0,L,-218.75,0.8054694017011809,45
0,L,-210.9375,0.7742265392935261,46
0,L,-203.125,0.7069413573970619,47
0,L,-195.3125,0.6319930817008125,48
0,L,-187.5,0.5584132976741026,49
0,L,-179.6875,0.4834361167248139,50
0,L,-171.875,0.4116143002148122,51
0,L,-164.0625,0.337512371131858,52
0,L,-156.25,0.27381493156817677,53
0,L,-148.4375,0.21278932454590505,54
0,L,-140.625,0.15886556902645368,55
0,L,-132.8125,0.10139286995610364,56
0,L,-125.0,0.02937842286793107,57
0,L,-117.1875,-0.03351201494822719,58
0,L,-109.375,-0.12706657747764663,59
0,L,-101.5625,-0.18982959791504153,60
0,L,-93.75,-0.2791677069730198,61
0,L,-85.9375,-0.33909611629557496,62
0,L,-78.125,-0.4122800010917358,63
0,L,-70.3125,-0.47799034706306304,64
0,L,-62.5,-0.5411045499455552,65
0,L,-54.6875,-0.6082678315144845,66
0,L,-46.875,-0.6684296756900201,67
0,L,-39.0625,-0.7325805285598935,68
0,L,-31.25,-0.7820782887693408,69
0,L,-23.4375,-0.8298264875910392,70
0,L,-15.625,-0.8595818716544434,71
0,L,-7.8125,-0.8829978798333215,72
0,L,0.0,-0.8840278822026423,73
0,L,7.8125,-0.8754307262037511,72
0,L,15.625,-0.8649864992911512,71
0,L,23.4375,-0.8353936574625156,70
0,L,31.25,-0.8048209214584585,69
0,L,39.0625,-0.7568492765984285,68
0,L,46.875,-0.701996526994787,67
0,L,54.6875,-0.6407978268342387,66
0,L,62.5,-0.5744934154745216,65
0,L,70.3125,-0.507190321800222,64
0,L,78.125,-0.4346199499412496,63
0,L,85.9375,-0.3603270709142621,62
0,L,93.75,-0.2823677213803632,61
0,L,101.5625,-0.21443318020930596,60
0,L,109.375,-0.14826867459318976,59
0,L,117.1875,-0.09267011076202575,58
0,L,125.0,-0.03360947452832421,57
0,L,132.8125,0.01773558441481183,56
0,L,140.625,0.06705186679793801,55
0,L,148.4375,0.10827002314939513,54
0,L,156.25,0.14952314243905337,53
0,L,164.0625,0.18442458712416784,52
0,L,171.875,0.22081929575653012,51
0,L,179.6875,0.2567758875612657,50
0,L,187.5,0.2931980788974411,49
0,L,195.3125,0.32936633538183596,48
0,L,203.125,0.3728946685592747,47
0,L,210.9375,0.41720772815373813,46
0,L,218.75,0.47363865923944415,45
0,L,226.5625,0.5410966769834847,44
0,L,234.375,0.5383807623900849,43
0,L,242.1875,0.5298649742174485,42
0,L,250.0,0.49516796542827024,41
1,R,-250.0,-0.35583814153209564,40
1,R,-242.1875,-0.45888177824022236,41
1,R,-234.375,-0.5471036774212745,42
1,R,-226.5625,-0.6159091854111582,43
1,R,-218.75,-0.6759955855406452,44
1,R,-210.9375,-0.72911779725608,45
1,R,-203.125,-0.7702212213841336,46
1,R,-195.3125,-0.800111937352611,47
1,R,-187.5,-0.8181653158935285,48
1,R,-179.6875,-0.8471838670121231,49
1,R,-171.875,-0.8647514516257452,50
1,R,-164.0625,-0.9004331179271545,51
1,R,-156.25,-0.9070677716055494,52
1,R,-148.4375,-0.922857892629261,53
1,R,-140.625,-0.9199026922301351,54
1,R,-132.8125,-0.9067834991745073,55
1,R,-125.0,-0.8882820098588717,56
1,R,-117.1875,-0.8410754646781087,57
1,R,-109.375,-0.7092668034201435,58
1,R,-101.5625,-0.5532603079828575,59
1,R,-93.75,-0.4049297982314163,60
1,R,-85.9375,-0.2551553694215746,61
1,R,-78.125,-0.12696216802537602,62
