peek_index,side,t_onset,t_mr_end,t_anchor,rec_ms,mr_ms,v_ms,peak_omega_deg_s,t_detect,rec_minus_detect_ms,flags
0,L,164394.50749999844,164714.81999999844,164757.375,203.125,320.3125,42.55500000156462,101.49035494692995,164472.63249999844,-78.125,()
1,R,164847.63249999844,165050.75749999844,165326.83000000007,78.125,203.125,276.0725000016391,154.91295408337018,164902.31999999844,-54.6875,()
2,L,165386.69499999844,165652.31999999844,165857.34999999963,46.875,265.625,205.0300000011921,145.27172806633106,,,()
3,R,165925.75749999844,166160.13249999844,166365.6799999997,54.6875,234.375,205.5475000012666,171.69767117579084,165980.44499999844,-54.6875,()
4,L,166433.56999999844,166660.13249999844,166884.89499999955,54.6875,226.5625,224.7625000011176,230.74517010672582,,,()
5,R,166988.25749999844,167207.00749999844,167436.43499999866,93.75,218.75,229.42750000022352,166.09134014068889,,,()
6,L,167480.44499999844,167753.88249999844,167942.3599999994,31.25,273.4375,188.47750000096858,142.38424410374213,,,()
7,R,168011.69499999844,168222.63249999844,168411.83000000007,54.6875,210.9375,189.19750000163913,233.52694802256633,168089.81999999844,-78.125,()
8,L,168464.81999999844,168714.81999999844,168868.20500000007,39.0625,250.0,153.38500000163913,180.67574893151416,,,()
9,R,168957.00749999844,169199.19499999844,169432.1649999991,78.125,242.1875,232.97000000067055,168.92937214473304,,,()
10,L,169488.25749999844,169746.06999999844,169919.19499999844,46.875,257.8125,173.125,172.41741676124337,,,()
11,R,170011.69499999844,170230.44499999844,170463.75,78.125,218.75,233.30500000156462,171.80978468129013,170113.25749999844,-101.5625,()
12,L,170535.13249999844,170777.31999999844,170971.05999999866,62.5,242.1875,193.74000000022352,155.16353234208015,,,()
13,R,171019.50749999844,171300.75749999844,171413.90499999933,39.0625,281.25,113.14750000089407,152.01744799979366,,,()
14,L,171496.06999999844,171722.63249999844,171921.4149999991,70.3125,226.5625,198.78250000067055,149.82873034862328,,,()
15,R,172355.44499999844,172722.63249999844,172791.79499999993,62.5,367.1875,69.16250000149012,171.78127593790236,172472.63249999844,-117.1875,()
16,L,172855.44499999844,173089.81999999844,173297.85499999858,54.6875,234.375,208.035000000149,161.55848761643776,,,()
17,R,173371.06999999844,173550.75749999844,173723.09999999963,62.5,179.6875,172.3425000011921,253.1799032185304,173417.94499999844,-46.875,()
18,L,173792.94499999844,174035.13249999844,174214.5249999985,54.6875,242.1875,179.3925000000745,174.19347599389576,,,()
19,R,174300.75749999844,174488.25749999844,174675.48999999836,78.125,187.5,187.2324999999255,256.09921541554036,174347.63249999844,-46.875,()
