session,peek_index,side,n_ticks,dt_ms,max_lag_ticks,peak_lag_ms,peak_strength,flags
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,0,L,58,7.8125,32,148.4375,-0.8499564227414929,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,1,R,71,7.8125,32,-250.0,-0.9211262589765037,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,2,L,77,7.8125,32,-242.1875,0.9192145705770021,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,3,R,64,7.8125,32,-132.8125,-0.928281287575225,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,4,L,63,7.8125,32,250.0,0.7610908700774227,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,5,R,61,7.8125,32,-218.75,-0.9178578881061511,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,6,L,65,7.8125,32,-140.625,0.9253497350630472,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,7,R,64,7.8125,32,-218.75,-0.8916455563471106,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,8,L,57,7.8125,32,226.5625,0.8926534486794463,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,9,R,61,7.8125,32,7.8125,0.8696355102641882,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,10,L,65,7.8125,32,-187.5,0.9276819967627262,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,11,R,56,7.8125,32,-148.4375,-0.9267527472289481,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,12,L,53,7.8125,32,203.125,0.9350699451232312,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,13,R,72,7.8125,32,39.0625,0.8801062616151375,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,14,L,65,7.8125,32,-164.0625,0.949863666388981,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,15,R,64,7.8125,32,-203.125,-0.7968133432594755,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,16,L,59,7.8125,32,203.125,0.9178431232271536,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,17,R,70,7.8125,32,-226.5625,-0.8212545454923558,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,18,L,58,7.8125,32,203.125,0.9328665438552421,()
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,19,R,497,7.8125,32,-7.8125,0.6336077889113597,()
