peek_index,side,start_idx,end_idx,n_ticks,padded_n,bins_le_fc,sparc,flags
0,L,19,49,31,32,6,-1.4390818337859808,()
1,R,11,54,44,64,11,-1.4555615876954802,()
2,L,5,45,41,64,11,-1.413873275604841,()
3,R,9,41,33,64,11,-1.4322597262067969,()
4,L,7,38,32,32,6,-1.4101255016971472,()
5,R,9,45,37,64,11,-1.4202028116323455,()
6,L,9,50,42,64,11,-1.4528480664903123,()
7,R,8,45,38,64,11,-1.5578843007557686,()
8,L,8,48,41,64,11,-1.4493022799894675,()
9,R,11,47,37,64,11,-1.7060402922039182,()
10,L,8,54,47,64,11,-1.46017592496122,()
11,R,7,46,40,64,11,-1.4583925701271996,()
12,L,12,69,58,64,11,-1.5917749471277716,()
13,R,5,33,29,32,6,-1.4991810626436064,()
14,L,8,33,26,32,6,-1.5210703890855892,()
15,R,10,40,31,32,6,-1.3957426609814427,()
16,L,7,34,28,32,6,-1.3595694853641567,()
17,R,13,37,25,32,6,-1.384103794251482,()
18,L,8,34,27,32,6,-1.119568985671772,()
19,R,14,39,26,32,6,-1.5858571015810292,()
