peek_index,side,start_idx,end_idx,n_ticks,padded_n,bins_le_fc,sparc,flags
0,L,26,67,42,64,11,-1.6282586807470907,()
1,R,10,36,27,32,6,-1.4907840085795354,()
2,L,6,40,35,64,11,-1.6977239405116251,()
3,R,7,37,31,32,6,-1.4714463898445334,()
4,L,7,36,30,32,6,-1.3711705769404583,()
5,R,12,40,29,32,6,-1.3887396155346101,()
6,L,4,39,36,64,11,-1.4733154540453695,()
7,R,7,34,28,32,6,-1.3841684530034255,()
8,L,5,37,33,64,11,-1.4387187247070687,()
9,R,10,41,32,32,6,-1.3969912666815518,()
10,L,6,39,34,64,11,-1.482817866019007,()
11,R,10,38,29,32,6,-1.3842130340896848,()
12,L,8,39,32,32,6,-1.6003446533529626,()
13,R,5,41,37,64,11,-1.4035786470351936,()
14,L,9,38,30,32,6,-1.3908003143369856,()
15,R,8,55,48,64,11,-1.5153439754131308,()
16,L,7,37,31,32,6,-1.4611251904113,()
17,R,8,31,24,32,6,-1.3798958958187966,()
18,L,7,38,32,32,6,-1.4040131898190342,()
19,R,10,34,25,32,6,-1.3818611059481383,()
