session,n,n_excluded,sparc_mean,sparc_p50,sparc_p25,sparc_p75,sparc_sd,n_ticks_p50,n_pad32,n_pad64
counterstrafe_ad_v1-2026-08-07T09_18_05.631Z,20,0,-1.4572655491419753,-1.4213659572630515,-1.484809401659139,-1.3876079701733788,0.0922599925476895,31.5,13,7
counterstrafe_ad_v1-2026-08-07T09_24_18.148Z,19,1,-1.4329049597379682,-1.4383232673083752,-1.5116862369127486,-1.3817117535088896,0.16018209706773764,32.0,10,9
counterstrafe_ad_v1-2026-08-07T09_37_24.351Z,20,0,-1.4556308298928666,-1.4510751732398899,-1.504653394254102,-1.4129363321279176,0.1150897868329174,35.0,9,11
"pooled (padding-step diagnostic only, not a training-effect claim)",59,1,-1.4488664714528512,-1.4390818337859808,-1.502737482350861,-1.3907869243564583,0.12334489521424953,32.0,32,27
